Adam Abramowicz;PIS
Andrzej Adamczyk;PIS
Waldemar Andzel;PIS
Dorota Arciszewska-Mielewczyk;PIS
Jan Ardanowski;PIS
Iwona Arent;PIS
Marek Ast;PIS
Zbigniew Babalski;PIS
Piotr Babinetz;PIS
Ryszard Bartosik;PIS
Barbara Bartuś;PIS
Mieczysław Baszko;PIS
Dariusz Bąk;PIS
Włodzimierz Bernacki;PIS
Jerzy Bielecki;PIS
Zbigniew Biernat;PIS
Mariusz Błaszczak;PIS
Jacek Bogucki;PIS
Joanna Borowiak;PIS
Agata Borowiec;PIS
Bożena Borys-Szopa;PIS
Joachim Brudziński;PIS
Barbara Bubula;PIS
Wojciech Buczak;PIS
Waldemar Buda;PIS
Lidia Burzyńska;PIS
Zbigniew Chmielowiec;PIS
Anna Cicholska;PIS
Michał Cieślak;PIS
Tadeusz Cymański;PIS
Krzysztof Czabański;PIS
Przemysław Czarnecki;PIS
Witold Czarnecki;PIS
Arkadiusz Czartoryski;PIS
Anna Czech;PIS
Anita Czerwińska;PIS
Katarzyna Czochara;PIS
Leszek Dobrzyński;PIS
Zbigniew Dolata;PIS
Antoni Duda;PIS
Elżbieta Duda;PIS
Jan Duda;PIS
Marcin Duszek;PIS
Michał Dworczyk;PIS
Jan Dziedziczak;PIS
Tadeusz Dziuba;PIS
Barbara Dziuk;PIS
Jacek Falfus;PIS
Ewa Filipiak;PIS
Leszek Galemba;PIS
Andrzej Gawron;PIS
Szymon Giżyński;PIS
Teresa Glenc;PIS
Piotr Gliński;PIS
Konrad Głębocki;PIS
Krzysztof Głuchowski;PIS
Małgorzata Golińska;PIS
Kazimierz Gołojuch;PIS
Jarosław Gonciarz;PIS
Małgorzata Gosiewska;PIS
Jerzy Gosiewski;PIS
Jarosław Gowin;PIS
Zbigniew Gryglas;PIS
Kazimierz Gwiazdowski;PIS
Teresa Hałas;PIS
Marcin Horała;PIS
Józefa Hrynkiewicz;PIS
Michał Jach;PIS
Patryk Jaki;PIS
Wiesław Janczyk;PIS
Grzegorz Janik;PIS
Małgorzata Janowska;PIS
Mariusz Jędrysek;PIS
Krzysztof Jurgiel;PIS
Alicja Kaczorowska;PIS
Jarosław Kaczyński;PIS
Piotr Kaleta;PIS
Mariusz Kamiński;PIS
Beata Kempa;PIS
Jan Kilian;PIS
Izabela Kloc;PIS
Lech Kołakowski;PIS
Robert Kołakowski;PIS
Joanna Kopcińska;PIS
Wojciech Kossakowski;PIS
Andrzej Kosztowniak;PIS
Henryk Kowalczyk;PIS
Bartosz Kownacki;PIS
Ewa Kozanecka;PIS
Jarosław Krajewski;PIS
Wiesław Krajewski;PIS
Leonard Krasulski;PIS
Piotr Król;PIS
Elżbieta Kruk;PIS
Anna Krupka;PIS
Andrzej Kryj;PIS
Bernadeta Krynicka;PIS
Dariusz Kubiak;PIS
Marta Kubiak;PIS
Krzysztof Kubów;PIS
Marek Kuchciński;PIS
Jacek Kurzępa;PIS
Anna Kwiecień;PIS
Marek Kwitek;PIS
Tomasz Latos;PIS
Bogdan Latosiński;PIS
Józef Leśniak;PIS
Joanna Lichocka;PIS
Krzysztof Lipiec;PIS
Adam Lipiński;PIS
Paweł Lisiecki;PIS
Tomasz Ławniczak;PIS
Marzena Machałek;PIS
Krzysztof Maciejewski;PIS
Antoni Macierewicz;PIS
Ewa Malik;PIS
Jerzy Małecki;PIS
Maciej Małecki;PIS
Gabriela Masłowska;PIS
Jerzy Materna;PIS
Beata Mateusiak-Pielucha;PIS
Grzegorz Matusiak;PIS
Andrzej Matusiewicz;PIS
Marek Matuszewski;PIS
Kazimierz Matuszny;PIS
Beata Mazurek;PIS
Andrzej Melak;PIS
Mieczysław Miazga;PIS
Iwona Michałek;PIS
Krzysztof Michałkiewicz;PIS
Anna Milczanowska;PIS
Daniel Milewski;PIS
Jan Mosiński;PIS
Kazimierz Moskal;PIS
Andżelika Możdżanowska;PIS
Aleksander Mrówczyński;PIS
Arkadiusz Mularczyk;PIS
Wojciech Murdzek;PIS
Piotr Naimski;PIS
Waldemar Olejniczak;PIS
Piotr Olszówka;PIS
Adam Ołdakowski;PIS
Marek Opioła;PIS
Krzysztof Ostrowski;PIS
Jacek Osuch;PIS
Anna Paluch;PIS
Jerzy Paul;PIS
Krystyna Pawłowicz;PIS
Grzegorz Piechowiak;PIS
Stanisław Pięta;PIS
Dariusz Piontkowski;PIS
Stanisław Piotrowicz;PIS
Jerzy Polaczek;PIS
Marek Polak;PIS
Piotr Polak;PIS
Marcin Porzucek;PIS
Grzegorz Puda;PIS
Piotr Pyzik;PIS
Grzegorz Raczak;PIS
Elżbieta Rafalska;PIS
Urszula Rusecka;PIS
Bogdan Rzońca;PIS
Jacek Sasin;PIS
Anna Schmidt-Rodziewicz;PIS
Grzegorz Schreiber;PIS
Łukasz Schreiber;PIS
Jarosław Sellin;PIS
Edward Siarka;PIS
Anna Siarkowska;PIS
Wojciech Skurkiewicz;PIS
Andrzej Smirnow;PIS
Kazimierz Smoliński;PIS
Anna Sobecka;PIS
Czesław Sobierajski;PIS
Artur Soboń;PIS
Andrzej Sośnierz;PIS
Lech Sprawka;PIS
Mirosława Stachowiak-Różecka;PIS
Dariusz Starzycki;PIS
Bartłomiej Stawiarski;PIS
Jarosław Stawiarski;PIS
Stefan Strzałkowski;PIS
Marek Suski;PIS
Artur Szałabawka;PIS
Wojciech Szarama;PIS
Józefa Szczurek-Żelazko;PIS
Jolanta Szczypińska;PIS
Paweł Szefernaker;PIS
Jan Szewczak;PIS
Jarosław Szlachetka;PIS
Andrzej Szlachta;PIS
Krzysztof Szulowski;PIS
Stanisław Szwed;PIS
Halina Szydełko;PIS
Beata Szydło;PIS
Ewa Szymańska;PIS
Szymon Szynkowski vel Sęk;PIS
Jan Szyszko;PIS
Janusz Śniadek;PIS
Jacek Świat;PIS
Dominik Tarczyński;PIS
Krzysztof Tchórzewski;PIS
Robert Telus;PIS
Ryszard Terlecki;PIS
Grzegorz Tobiszowski;PIS
Ewa Tomaszewska;PIS
Sylwester Tułajew;PIS
Piotr Uruski;PIS
Piotr Uściński;PIS
Teresa Wargocka;PIS
Robert Warwas;PIS
Jan Warzecha;PIS
Małgorzata Wassermann;PIS
Witold Waszczykowski;PIS
Maciej Wąsik;PIS
Rafał Weber;PIS
Jerzy Wilk;PIS
Elżbieta Witek;PIS
Grzegorz Wojciechowski;PIS
Michał Wojtkiewicz;PIS
Grzegorz Woźniak;PIS
Tadeusz Woźniak;PIS
Michał Wójcik;PIS
Krystyna Wróblewska;PIS
Bartłomiej Wróblewski;PIS
Małgorzata Wypych;PIS
Marek Zagórski;PIS
Anna Zalewska;PIS
Krzysztof Zaremba;PIS
Artur Zasada;PIS
Sławomir Zawiślak;PIS
Łukasz Zbonikowski;PIS
Jarosław Zieliński;PIS
Zbigniew Ziobro;PIS
Maria Zuba;PIS
Wojciech Zubowski;PIS
Jacek Żalek;PIS
Zbigniew Ajchler;PO
Bartosz Arłukowicz;PO
Paweł Arndt;PO
Urszula Augustyn;PO
Joanna Augustynowska;PO
Tadeusz Aziewicz;PO
Paweł Bańkowski;PO
Anna Białkowska;PO
Marek Biernacki;PO
Jerzy Borowczak;PO
Krzysztof Brejza;PO
Borys Budka;PO
Bożenna Bukiewicz;PO
Małgorzata Chmiel;PO
Alicja Chybicka;PO
Janusz Cichoń;PO
Piotr Cieśliński;PO
Tomasz Cimoszewicz;PO
Zofia Czernow;PO
Andrzej Czerwiński;PO
Ewa Drozd;PO
Artur Dunin;PO
Waldy Dzikowski;PO
Joanna Fabisiak;PO
Joanna Frydrych;PO
Grzegorz Furgo;PO
Krzysztof Gadowski;PO
Kinga Gajewska;PO
Elżbieta Gapińska;PO
Zdzisław Gawlik;PO
Stanisław Gawłowski;PO
Lidia Gądek;PO
Elżbieta Gelert;PO
Artur Gierada;PO
Tomasz Głogowski;PO
Marta Golbik;PO
Cezary Grabarczyk;PO
Jan Grabiec;PO
Rafał Grupiński;PO
Andrzej Halicki;PO
Agnieszka Hanajczyk;PO
Bożena Henczyca;PO
Jolanta Hibner;PO
Marek Hok;PO
Maria Janyska;PO
Bożena Kamińska;PO
Włodzimierz Karpiński;PO
Małgorzata Kidawa-Błońska;PO
Marcin Kierwiński;PO
Joanna Kluzik-Rostkowska;PO
Magdalena Kochan;PO
Agnieszka Kołacz-Leszczyńska;PO
Ewa Kołodziej;PO
Zbigniew Konwiński;PO
Ewa Kopacz;PO
Adam Korol;PO
Leszek Korzeniowski;PO
Roman Kosecki;PO
Tomasz Kostuś;PO
Robert Kropiwnicki;PO
Wojciech Król;PO
Marek Krząkała;PO
Henryka Krzywonos-Strycharska;PO
Tomasz Kucharski;PO
Stanisław Lamczyk;PO
Józef Lassota;PO
Gabriela Lenartowicz;PO
Tomasz Lenz;PO
Izabela Leszczyna;PO
Beata Małecka-Libera;PO
Arkadiusz Marchewka;PO
Antoni Mężydło;PO
Rajmund Miller;PO
Aldona Młyńczak;PO
Czesław Mroczek;PO
Izabela Mrzygłocka;PO
Joanna Mucha;PO
Killion Munyama;PO
Arkadiusz Myrcha;PO
Anna Nemś;PO
Sławomir Neumann;PO
Dorota Niedziela;PO
Małgorzata Niemczyk;PO
Sławomir Nitras;PO
Tomasz Nowak;PO
Mirosława Nykiel;PO
Włodzimierz Nykiel;PO
Norbert Obrycki;PO
Marzena Okła-Drewnowicz;PO
Paweł Olszewski;PO
Katarzyna Osos;PO
Paweł Papke;PO
Zbigniew Pawłowicz;PO
Małgorzata Pępek;PO
Sławomir Piechota;PO
Danuta Pietraszewska;PO
Teresa Piotrowska;PO
Kazimierz Plocke;PO
Agnieszka Pomaska;PO
Jacek Protas;PO
Elżbieta Radziszewska;PO
Grzegorz Raniewicz;PO
Ireneusz Raś;PO
Halina Rozpondek;PO
Leszek Ruszczyk;PO
Dorota Rutkowska;PO
Jakub Rutnicki;PO
Marek Rząsa;PO
Grzegorz Schetyna;PO
Krystyna Sibińska;PO
Tomasz Siemoniak;PO
Krystyna Skowrońska;PO
Bogusław Sonik;PO
Michał Stasiński;PO
Paweł Suski;PO
Michał Szczerba;PO
Krystyna Szumilas;PO
Bożena Szydłowska;PO
Tomasz Szymański;PO
Iwona Śledzińska-Katarasińska;PO
Marcin Święcicki;PO
Jacek Tomczak;PO
Cezary Tomczyk;PO
Rafał Trzaskowski;PO
Robert Tyszkiewicz;PO
Jarosław Urbaniak;PO
Anna Wasilewska;PO
Monika Wielichowska;PO
Ryszard Wilczyński;PO
Wojciech Wilk;PO
Mariusz Witczak;PO
Marek Wójcik;PO
Marian Zembala;PO
Wojciech Ziemniak;PO
Szymon Ziółkowski;PO
Stanisław Żmijan;PO
Piotr Apel;Kukiz15
Wojciech Bakun;Kukiz15
Józef Brynkus;Kukiz15
Barbara Chrobak;Kukiz15
Grzegorz Długi;Kukiz15
Paweł Grabowski;Kukiz15
Jerzy Jachnik;Kukiz15
Marek Jakubiak;Kukiz15
Tomasz Jaskóła;Kukiz15
Bartosz Józwiak;Kukiz15
Norbert Kaczmarczyk;Kukiz15
Andrzej Kobylarz;Kukiz15
Jerzy Kozłowski;Kukiz15
Paweł Kukiz;Kukiz15
Jakub Kulesza;Kukiz15
Andrzej Maciejewski;Kukiz15
Maciej Masłowski;Kukiz15
Robert Mordak;Kukiz15
Błażej Parda;Kukiz15
Stefan Romecki;Kukiz15
Łukasz Rzepecki;Kukiz15
Tomasz Rzymkowski;Kukiz15
Jarosław Sachajko;Kukiz15
Krzysztof Sitarski;Kukiz15
Paweł Skutecki;Kukiz15
Paweł Szramka;Kukiz15
Agnieszka Ścigaj;Kukiz15
Stanisław Tyszka;Kukiz15
Elżbieta Zielińska;Kukiz15
Barbara Dolniak;Nowoczesna
Kamila Gasiuk-Pihowicz;Nowoczesna
Paulina Hennig-Kloska;Nowoczesna
Michał Jaros;Nowoczesna
Paweł Kobyliński;Nowoczesna
Ewa Lieder;Nowoczesna
Radosław Lubczyk;Nowoczesna
Katarzyna Lubnauer;Nowoczesna
Jerzy Meysztowicz;Nowoczesna
Krzysztof Mieszkowski;Nowoczesna
Piotr Misiło;Nowoczesna
Mirosław Pampuch;Nowoczesna
Paweł Pudłowski;Nowoczesna
Monika Rosa;Nowoczesna
Marek Ruciński;Nowoczesna
Marek Sowa;Nowoczesna
Elżbieta Stępień;Nowoczesna
Mirosław Suchoń;Nowoczesna
Adam Szłapka;Nowoczesna
Krzysztof Truskolaski;Nowoczesna
Kornelia Wróblewska;Nowoczesna
Witold Zembaczyński;Nowoczesna
Paweł Bejda;PSL
Stanisław Huskowski;PSL
Krystian Jarubas;PSL
Michał Kamiński;PSL
Mieczysław Kasprzak;PSL
Eugeniusz Kłopotek;PSL
Władysław Kosiniak-Kamysz;PSL
Kazimierz Kotowski;PSL
Jan Łopata;PSL
Mirosław Maliszewski;PSL
Stefan Niesiołowski;PSL
Urszula Pasławska;PSL
Krzysztof Paszyk;PSL
Jacek Protasiewicz;PSL
Marek Sawicki;PSL
Zbigniew Sosnowski;PSL
Genowefa Tokarska;PSL
Piotr Zgorzelski;PSL
Adam Andruszkiewicz;WIS
Sylwester Chruszcz;WIS
Kornel Morawiecki;WIS
Jarosław Porwich;WIS
Małgorzata Zwiercan;WIS
Ireneusz Zyska;WIS
Piotr Babiarz;other
Magdalena Błeńska;other
Adam Cyrański;other
Ryszard Galla;other
Jan Klawiter;other
Piotr Liroy-Marzec;other
Ryszard Petru;other
Janusz Sanocki;other
Joanna Scheuring-Wielgus;other
Joanna Schmidt;other
Jacek Wilk;other
Robert Winnicki;other
